reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
2c3a4cd3-69b3-49dc-9f4f-f13cf63bff80,Ronit Banerjee,No 1 3rd class app,1,0,413.0.0.30.104,2023-05-07 11:22:27,,
62a4138f-0264-4eb5-a7ca-3e2953e29f72,Jason Genese,put account option professional mode appear account please help crator,3,0,413.0.0.30.104,2023-05-07 11:22:25,,
09f3639b-fb29-4208-8a10-19b3a253df9f,Gsjsg Fhshs,Nice,5,0,332.0.0.23.111,2023-05-07 11:21:11,,
3029b6dd-f407-43ef-96c1-6e695f93dfd5,P vasma,Piya Verma,3,0,413.0.0.30.104,2023-05-07 11:20:33,,
681c059e-b2b4-458b-a540-e15469fa229f,Veena Rajesh Rajesh,Face book good app Ilove Facebook ♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️,5,0,,2023-05-07 11:19:26,,
75b264a5-9964-4313-81ec-a84837704bbf,Synshar Metre Bamon,nice apps,5,0,,2023-05-07 11:19:19,,
9d8d6327-3fd7-4475-bdca-ccf2d6bc6003,JoAnn Williams,I dont know get rid old accounts Facebook,4,0,412.0.0.22.115,2023-05-07 11:19:02,,
587efd15-c39a-42a7-bc21-4fcf6bfc3834,Pasottam Chandra,Parshottam chandra,5,0,413.0.0.30.104,2023-05-07 11:17:04,,
00dc31ce-ad39-4364-bee9-3f2ae2464693,Sebastian Conley,Says I Facebook dating clicked logs,1,0,413.0.0.30.104,2023-05-07 11:16:47,,
a0dc67fd-0651-43f5-823e-840826747ace,AKEEL AHEMAD ANSARI,Good,5,0,411.1.0.29.112,2023-05-07 11:16:40,,
4e7f8890-8c7d-4ffd-8acf-b2992a4edd95,Dj gaming,Good appp,5,0,412.0.0.22.115,2023-05-07 11:16:14,,
54da816c-218f-4f24-9ad1-4891c4dd5ef7,Dharmendra kumar Dkumar,Super,5,0,413.0.0.30.104,2023-05-07 11:16:05,,
6117bd64-7c71-4415-a97d-8a22da3ed6ac,Dipalso Rangmang,Before good getting worse,1,0,411.1.0.29.112,2023-05-07 11:14:26,,
932a9fa2-678a-4586-a2d6-994e5fe64a74,mandy quintao,Nice app,5,0,412.0.0.22.115,2023-05-07 11:13:10,,
af1f6e1f-8763-437f-9bdb-0a5ba0c3e646,shefushieda10,good,5,0,413.0.0.30.104,2023-05-07 11:12:49,,
40085375-325b-465f-a8ae-41713d69f064,Farman Ali,Good,2,0,,2023-05-07 11:12:48,,
069cb459-934d-488f-8158-1e966e2bec14,Ederfel Motilla,Fix system bugs way guys ban something andor suspending accounts ALSO one star keeps logging ny account AUTOMATICALLY updated comment hate dumb app restricting people NOTHING,1,1,413.0.0.30.104,2023-05-07 11:12:15,,
f6d4141c-9669-435f-a2e4-b382e8046f97,Suraj Biswas,Facebook code,5,0,411.1.0.29.112,2023-05-07 11:11:02,,
d0816896-4f2f-4232-a125-5d12fb602fe1,khan khan,good,5,0,,2023-05-07 11:10:34,,
32583812-5579-4282-bfe8-00d59de853a8,daily points Tv,So amazing 🤩😍,5,0,390.0.0.27.105,2023-05-07 11:10:06,,
295cf901-97a4-4357-83bb-1b5ba7b50767,Josephine D. Nabat,interesting😊👍,5,0,412.0.0.22.115,2023-05-07 11:10:00,,
40fbf9a9-5813-442d-a0e6-3bbc86eb1069,Bad Boy,Good app,5,0,336.0.0.20.117,2023-05-07 11:09:45,,
c7b69b00-2914-4c6d-9e62-084e16fef861,Taposhi Roy,Soo laging,1,0,332.0.0.23.111,2023-05-07 11:09:07,,
1ef5d54e-e578-428c-9245-2428eebf2bc1,Md Mokarim khan,Real fackbook,5,0,413.0.0.30.104,2023-05-07 11:08:54,,
de74c5c1-40f0-478f-ac6f-ab5289c4a4a6,Rupdhar Baghel,Samaroh sorry Madhyamik Shal,5,0,413.0.0.30.104,2023-05-07 11:06:54,,
d98d605c-5460-4c53-8d1a-e09775a90bd8,Norziela Awang,Good people use,5,0,411.1.0.29.112,2023-05-07 11:06:39,,
9d856db9-82a6-42d0-bbc2-8b04bc7bf937,Aungko minn,Good,5,0,413.0.0.30.104,2023-05-07 11:06:11,,
bde54791-4c5d-41b5-972e-7e65a52d644b,Priyanka Pal,My face book,5,0,413.0.0.30.104,2023-05-07 11:05:19,,
c44c4822-5769-462b-926d-ea07ab056d48,Mariam Kamal,Too much make friends know browsig And interfere political regional opinion,1,0,413.0.0.30.104,2023-05-07 11:04:59,,
66ce326e-7bc3-4851-87c4-dd6e3465fb61,Mohammed Kaif shaikh,Móhàmmàď Kaif šhàìķh,5,0,,2023-05-07 11:04:19,,
f6dc1429-9374-45fa-b8c0-2b7ff32e4c17,Murugavel Periyasamy,iknkoono,5,0,332.0.0.23.111,2023-05-07 11:04:18,,
4ae86ea6-8344-41c8-b483-0739c346bd38,Khan Zaib,،اس کا یہ,1,0,,2023-05-07 11:04:11,,
a040727d-c953-4bd8-a6cd-7c99d906c359,Cris Julius Revilla,The notification delayed accurate messenger also messages delayed,2,0,413.0.0.30.104,2023-05-07 11:03:52,,
fc67eb86-d2b4-4192-80d0-c3cba820de91,Gopal Patel,Good,5,0,401.0.0.24.77,2023-05-07 11:02:41,,
904260ad-37c3-4ad1-8baa-c033642bd975,Tsetsegbadam Namjil,Энэ апп ёстой их гацдаг Гэхдээ л гоё,2,0,,2023-05-07 11:02:31,,
0bcde94e-79b3-413b-af40-048f50ceec30,Asif sahil,Asifsahil,5,0,,2023-05-07 11:01:44,,
3fb75417-6380-4404-b706-6f23e3eee35f,OLETTA HENRY,Im really upset cause someone seems hack account Im lock say upload photos identity yet I still cant access,2,0,306.1.0.40.119,2023-05-07 11:01:35,,
055c9c12-f8c7-4b96-a895-fb7ad9bb34a1,Md Amin,Nice apps,5,0,,2023-05-07 11:01:16,,
21219e07-be84-43db-a58d-c6eb57bfa634,Krishan kumar,Op,5,0,411.1.0.29.112,2023-05-07 11:01:15,,
bd03982a-959c-4c90-9647-461d85225361,A Google user,Notifications stopped since last update I find posts see comments,3,0,413.0.0.30.104,2023-05-07 11:01:11,,
cfc025ab-295b-4161-b602-4a76e34214e9,Md Raza,Md irshad,5,0,413.0.0.30.104,2023-05-07 11:00:37,,
ad1c3249-b3ad-46f5-a225-06bd9376d1ef,Bhubatji Thakor,Nd r,2,0,332.0.0.23.111,2023-05-07 10:59:23,,
4fe97402-7da9-4b86-a69d-0b786d2057f3,inesha priyadarshani,Ppipdo DC k rrd html CNN mķ,5,0,332.0.0.23.111,2023-05-07 10:59:07,,
f859b455-1958-4217-8a9f-fa2bd75d9e90,Devin Dixon,Hate Facebook,1,0,412.0.0.22.115,2023-05-07 10:58:59,,
2ac7df4a-1c98-42d6-9aa0-591dc64871e6,Aminul Islam,Very complete,5,0,,2023-05-07 10:58:01,,
14d548b9-b982-4081-a556-6d3e94c7e336,Abdul Kaium,good ap,5,0,413.0.0.30.104,2023-05-07 10:56:53,,
993cceeb-629e-46da-ba1b-2553867b7a70,Tuguldurod Huyaghuu,Cool app 😎😎,5,0,383.1.0.25.106,2023-05-07 10:56:28,,
2974e6c5-072a-4581-b3b6-e850d8b9807f,Erwin Lizondra,Good,5,0,413.0.0.30.104,2023-05-07 10:55:35,,
a961982f-7295-47ce-b232-ce704a8f24b2,Grace Isabella,Nice,5,0,413.0.0.30.104,2023-05-07 10:55:09,,
99820aa2-8333-48f5-bb28-68bd791ad08c,Vibha Debi,𝒜𝒶𝓀𝓈𝒽 𝓀𝓊𝓂𝒶𝓇,5,0,413.0.0.30.104,2023-05-07 10:55:01,,
61115fa5-a244-442b-884a-218662cbfa29,Mhasnainsaeed Hsnainsaeed,Please recover previous acccont also email,2,0,,2023-05-07 10:54:53,,
234b5db8-b46a-4763-9e42-74c1312e079f,Aslam Ali,Hahahahahajahajaja,5,0,,2023-05-07 10:54:45,,
13edabf9-08d0-45a5-95ff-effe0157584c,Pratima Kumari,Good app,5,0,,2023-05-07 10:54:35,,
129d06a3-9907-44b7-adf1-87da5d88e31b,ABO FAHAD,amazing app,5,0,403.0.0.27.81,2023-05-07 10:54:27,,
615e048b-caba-4aef-b670-07bcec74d47e,mandip shah,Video Problem 😭😭😭 MOST VIDEOS NOT PLAYING ⏯️,1,0,413.0.0.30.104,2023-05-07 10:54:06,,
5e0b05c5-8c75-469b-b084-1a62783305bc,Johnna Wilhite,1st sell data censor us pay decide elections bombard us ads thats enough BS try take TikTok want people pay 22 month We know pay settlements If ish like continues axed along Instagram Netflix many businesses increasing prices delivering sub par product FACEBOOK CREATED mess world want us pay lawsuits,1,0,413.0.0.30.104,2023-05-07 10:53:27,,
0f867806-e2ab-48a3-84b7-677879498c8d,Mahafijur Rahman,Good,5,0,,2023-05-07 10:53:17,,
fa629f0c-dfd1-40ae-865c-f37d1dfee5ec,Md Aslam Khan,Nc otp,5,0,396.0.0.21.104,2023-05-07 10:52:56,,
0ac33b10-4489-4d2b-a0ed-b9c3dc783281,semi kumar,Good,4,0,,2023-05-07 10:52:12,,
59bb6c4f-1590-4269-b06d-308c8761426b,Mir Bashir,Facebook app,5,0,,2023-05-07 10:51:47,,
66f18ad9-0d57-46bc-bca1-79ddc254b285,Anshul Gamers,Very bad,1,0,412.0.0.22.115,2023-05-07 10:50:27,,
c35db746-52af-4aa6-8ca9-6a310d8c525a,Anil Chebrolu,Good,5,0,413.0.0.30.104,2023-05-07 10:47:33,,
fc1c64f8-d289-4cc2-98ae-4aa6fcd69954,Pawan Kumar,Pawan ram,5,0,332.0.0.23.111,2023-05-07 10:47:22,,
366154be-a681-4b7c-b8f0-d64ad4be2bd4,Gurmeet singh Mander,NYC app,5,0,412.0.0.22.115,2023-05-07 10:46:50,,
