reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
d824d2d2-ff5c-4139-9d9a-d1fe6c3fb6aa,Sunrea Clayborn,"Honestly, if you aren't already invested, avoid this app. You'll be punished for being an active player. Niantic hates you. You will need to pay more than $200 to succeed in this app. Don't download it.",2,3,0.267.1,2023-04-16 12:41:47,,
508cf5fc-cc56-4b0c-a553-204ba1c51c24,frankie pang,It's a waste of time. Their recent changes and updates render many players unable to play. Too many negative changes and the company doesn't seem to care about the players,1,4,0.267.1,2023-04-16 12:40:05,,
05c1a1d7-7b1d-4bff-b441-51237cfe7e06,Steven Wells,Good app,4,0,0.209.0,2023-04-16 12:36:30,,
f6cc65e3-34e4-4ffa-9a46-da657826e6fd,Adam Fights,I've enjoyed this game for many years and the enjoyment has stopped. I have children and a job and that is too much of a responsibility to play this game Niantic.,2,2,0.267.1,2023-04-16 12:10:39,,
17a44058-11bd-4e62-b633-bbb9f1338d0f,Nilufa Akter,King of lag,1,2,,2023-04-16 11:53:31,,
515741a7-08b2-4e77-a329-f26862c0292a,The house of collectibles,Browskis just download playmods and then download Pokemon go and it might be a better experience🫤😐 L,5,0,,2023-04-16 11:40:24,,
33f280c5-1cf9-45ca-98e3-169dd4a18dac,Mushriff Abdullah,THIS GAME SUCKS I HAD TO LITTER LLY WASTE MY TIME TRYING TO SIGN UP I DOESNT EVEN WORK IN REAL WORK UGH🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,1,2,0.267.1,2023-04-16 11:39:23,,
b7193288-a047-4990-9f4f-b674ffdd1241,Hami556,"Niantic, you really messed this game up with the new updates. Especially the Remote Raid passes. I wanna uninstall, but I believe you can fix this cos now thousands of players are gonna go on strike bcos of this. Edit: also add double candy trainer boost",1,5,0.267.1,2023-04-16 11:38:19,,
56b038b5-0e89-4334-bd9c-25d7724218f0,Atharva Purohit,I love pokemon so much . I wanted to play a game like this so badly .Now this game has fulfilled my desire.,4,0,,2023-04-16 11:26:35,,
3a2c9e1c-5bb5-4e36-8fcf-d481db4fa356,I m p u r e,The worst thing is.. This game is not for immobile or disabled persons 🙂 Also Doesn't like the battle style,1,2,,2023-04-16 11:25:29,,
a0066719-1224-421d-83c7-74782a828a51,Ekur Edorot,I actually never play this game because i cant make an account cause this game is overprotected when i was creating my account and i couldn't do it because of the username and password please fix it😫😫,2,2,,2023-04-16 11:19:07,,
d613c6b6-bc7b-41dc-8867-cb3bed0d23ee,Goruto 653,"I have been playing the game since it first released, The game is still extremely fun! Mostly with friend, Gotta catch them all. This app is a must.",5,0,0.267.1,2023-04-16 10:56:23,,
60c8f2ab-4b04-4300-8cc9-103b43ad6dbf,Ganga Rawat,Amazing game 👍👍👍👍,5,0,0.265.0,2023-04-16 10:56:08,,
c3da673d-7f37-4f07-bdc8-932f9ad600a9,Lado,It is very good gsme for poke players,5,0,,2023-04-16 10:46:46,,
e48f6a3c-3cdb-4a1e-ae82-1e1eb9de4428,Princess Athena,Takes for ever to load up but just before it opens it crashes and app closes,1,2,0.265.0,2023-04-16 10:35:36,,
55329b2c-b3d9-4562-9f67-18cd92484e48,Hanna Posselt,Adventure sync not working all week. Please fix,1,2,0.267.1,2023-04-16 10:04:16,,
92b8459f-8f15-4d6a-9e2b-9b8b6ab50b97,Michael Scotton,"Battle leauge freezes randoming making battles impossible and either side loses due to luck awful game breaking bug, I suggest everyone flood the battle system with joining battles and quiting instantly as they start until its resolved that way the BS rng is atleast self induced and we dont have to deal with the insufferable battle system and wasting time only to have either person freeze and have the battle be pointless.....",1,6,0.267.1,2023-04-16 09:57:10,,
bafce3a9-8772-4d65-9bbe-d0f79840ce0e,Carly Slater,You run out of poke balls easily,4,0,0.267.1,2023-04-16 09:46:35,,
57510464-32ed-4f43-a649-fffc2b18170d,Savita Sarkate,When my exam started I deleted pokemon go now my exams over but i can't open my account my account is Google the google account option is in how I open my account 😟,2,2,,2023-04-16 09:43:57,,
7dd8f416-7b9a-439f-b6c1-3281be12e52e,Cedric Chan,"Pvp battles are such a scam. Once you reach certain level, the system match you with pokemon types totally against you. Also, the remote pass is double in price?! I am now on the verge of ditching this game too ....",2,3,0.267.1,2023-04-16 09:38:30,,
6f3e334e-b53d-425d-ba75-2d4d0f8a1c80,Krishna Solanki,Horrible,1,1,,2023-04-16 09:33:59,,
d64337cb-0e04-4bd7-90a6-19ed8d3165a8,Swapnil Pal,This game was very nice and my legendary collection is very good,5,0,,2023-04-16 09:33:33,,
f4629fec-a8ac-4028-ad3a-ebbbe6a83268,PRO GAMER TELUGU,Hi hi 😊 hg Ave 👋👋,5,0,,2023-04-16 09:24:38,,
247560d4-326b-4899-92b8-555c57895568,Francis Yang,Go to mn st Paul mall of America,5,0,0.267.1,2023-04-16 09:24:17,,
cfcec9bd-89c8-44e8-9aee-ea51da05de85,Rupkan Deka,I love to play it,5,0,0.189.0,2023-04-16 09:22:12,,
29201241-c709-4754-ab5e-8d65ccf15bad,Stephen Cossich,After the update and making the remote raid passes more expensive they also made the raid bosses more difficult to catch definitely a new low for the game no wonder so many ppl started a protest against the update. Used to be fun now it's another annoying game. Funny also how they didn't put the pice change in the what's new part of the update... yall really let everyone down,1,4,0.267.1,2023-04-16 09:00:04,,
ef3a7e57-7147-487a-9962-78d9551cbb08,Richie Dagger,If only Pokemon were real...😭😭😭,5,0,0.267.1,2023-04-16 08:57:07,,
2d713a00-372d-4c07-8cad-8fa1465e70c7,Ayden Da Boi,"Absolutely highly recommend this game!!,",5,0,,2023-04-16 08:57:00,,
629a367a-6bd6-4918-8a4c-ffa3a1226c37,Dan Callaway,One star until the remote raids go back to their lower cost. That's how most of us raided like it or not.,1,221,0.239.2,2023-04-16 08:50:34,,
44faa6da-f2d9-4082-879b-ce3f55236173,Andrew Gravelle,Game really has gone down hill,1,3,0.207.2,2023-04-16 08:47:46,,
6c31f9b1-aa12-4275-9f92-3818b44a3969,Tobias Wakefield,"It has fixed the GPS issues, but still is somewhat laggy.",5,0,0.263.1,2023-04-16 08:45:47,,
b1b7243e-4d6e-41bc-80f4-9efe64e78762,Sudhir Kadam,Ye game bahut boring hai,5,0,0.267.1,2023-04-16 08:40:51,,
6675a1a5-6cc4-4444-a098-79796bd5a12c,Sam Chini,Waste game I'm a new player of this pokeman game log in,1,1,,2023-04-16 08:34:11,,
02ac5b63-05eb-4df8-8b81-caa285d5a307,Dan Hyder,Hear us niantic,1,0,,2023-04-16 08:29:19,,
e9a35bb5-e265-4abc-bbea-1ca423caccc5,yunika permatasari,the last update is completely a dumb.,1,1,,2023-04-16 08:18:26,,
cf2c158f-bb7b-4809-ba5b-49dd566ebf72,Francis Scalabrini,"Bon concept mais ça s'arrête pas mal à ça! Niantic est en train de tuer le jeu, je jouais au début en 2016, j'ai arrêté quelques années et recommencer depuis 2ans ! Depuis que j'ai repris j'ai penser à arrêter quelques fois les patchs sont horrible et ne corrige presque pas les bugs mais ils n'arrêtent pas d'augmenter les prix ( doubler les prix ) des items payant dans le jeu... Ahhh oui aussi si comme moi vous habitez en campagne vous serez extrêmement désavantager ! Shame on you Niantic",1,2,0.267.1,2023-04-16 08:14:14,,
3394ceaf-65e2-4f14-8a35-913e8275cc10,TJ Owens,Company likes to see their players suffer. Makes constant questionable choices that doesn't benefit gameplay.,1,53,0.267.1,2023-04-16 08:06:36,,
b919b0f4-ca27-4cfd-93f1-6e77a5e251ee,izz rayyan the beast 78,The game is sucks i wish this game is dead and the pokemon show i wish there are dead in the future...,1,1,,2023-04-16 08:01:54,,
e9515721-2d06-46ca-9593-7f9ec640b0a7,I'mLazyy,"Ran by money hungry goblins who are doing their best to ruin the game for disabled, old, and rural players.",1,3,0.267.1,2023-04-16 07:53:17,,
70d2b2ea-6046-42d0-a946-fcb2ebe66715,Daniel Hough,"Like many others have said the recent changes have all but killed off the game. Increasing the remote raid price and limiting the amount you can do just dampens the experience of playing the game. I used to occasionally log on when i had a few mins to spare but now that feels pointless. Anyone looking to avoid spending money has to wait far too long to earn passes and most events are awfully short so good luck everyone who has a job. Awful, pretentious dev who ignores their community.",1,3,0.265.0,2023-04-16 07:42:37,,
e13fb141-0dac-442a-8c31-b053713c96a4,Trashpile Hii,I don't mean to be rude but I don't like the cost of raid passes I can only get 50 coins a day so it takes me 4days for 1raid pass,4,0,0.265.0,2023-04-16 07:33:55,,
532fd83e-f393-4074-bf64-8949c9e300ad,Vignesh arthi,Super super super super super super game,5,0,0.265.0,2023-04-16 07:30:22,,
94e75112-13fa-43df-9472-ced4d5a53f86,Tim Knaus,"I've been playing off and on since launch, but Niantic seems to not care about what it's fans want anymore. Events have been bad, ruining remote raid passes and just overall hasn't been fun lately. It's really sad honestly.",1,4,0.239.2,2023-04-16 07:28:45,,
185e7e0c-9e9f-4d88-b7a1-da57bacf747f,michael knudson,"Everything seems to work fine until I go to the battle menu and once I get to the screen where I select the league, I can't do anything after that. It's like it's frozen or something. If I clear the cashe force stop and uninstall then reinstall I can sometimes do one battle but then it does the same thing. Sad",1,10,0.267.1,2023-04-16 07:19:25,,
0c017036-c16d-4f58-8faf-cd991f609deb,Gurmit Singh,Nice game,5,0,,2023-04-16 07:18:08,,
d0d80f1a-65b6-4562-b47c-0f2a972b03c3,TheKingInfernape,"Can't wait for them to make remote raids more expensive, this is really going to make me want to do more raids, thanks Niantic 👍",2,2,0.267.1,2023-04-16 06:41:36,,
716b7ebc-5cd1-41f5-ab0a-d7548f4d3bf3,Joshua Frazer,i like this game Pokemon is addictive in a good way,5,0,,2023-04-16 06:37:52,,
c30b2a83-2484-4dd8-b327-2980896030b4,jaxson live tv,The best game ever we'll was they made raid passes 195 WE ALL HATE IT,4,1,0.267.1,2023-04-16 06:27:32,,
3c7b9ea3-e47e-4326-950f-70f386a7fa18,Vivien B,Why should I have to enter my cc of the last 4 digits of my social??? You could be storing the information for your own personal use.,1,0,0.267.1,2023-04-16 06:12:08,,
f2b4d442-af01-4974-9d83-6a5db95c32aa,David Chaaban,"First, an update came for remote raid pass price to be doubled(which isnt really a problem to me), but the real problem is that a got a shiny riolu and evolved it, thought it was my lucky day, I was happy until I noticed that the cost of teaching it a second charged attack went up, there was no warning(there should be), & there was absolutely no way I would have known about this, infact I thought It would stay the same because i remember evolving other pokemon and the cost was still the same.",1,3,0.265.0,2023-04-16 06:03:52,,
40dcc8f8-1861-4136-8fff-8fef28a1efb4,Ice Cube,"Unplayable. No other way to put it, it's a miracle to get past the first loading screen. Keep in mind this is with a brand new phone, as well.",1,1,,2023-04-16 05:43:31,,
d2e36ee4-2320-4a8e-8d28-1b5ba6e04468,Rubylicious,Absolute braindead changes actively worsened this game to a point where it has become unplayable.,1,3,0.267.1,2023-04-16 05:21:07,,
f9638ef3-6b1c-4258-8f60-d685d99fe29b,Denesia Westbrook,CATCH EM ALL,4,1,0.261.1,2023-04-16 05:19:23,,
a15a9a4e-48d8-432b-b548-19a76bcf132e,lusdf5676,"Seems to be no real improvements to the game, making it become boring fast. Also increasing remote raid pass price",2,1,0.267.1,2023-04-16 05:12:18,,
bba7f891-325d-4ab2-9399-2ba0f68a4c59,Bart G,"I keep having to reinstall the app because of the ""wild pokemon fled"" status coming up for a mandatory battle reward - I would much rather skip catching it.",3,0,0.267.1,2023-04-16 05:01:11,,
ce3971e1-9b9f-4c60-b87a-c2b3213ba3fd,Harry M Crews Jr.,Can you add Nintendo link via account?,5,1,0.267.1,2023-04-16 04:43:28,,
0a994564-bdaf-4f52-b506-e55058ddda6f,Angelica Henrich,I have not played games in a long time and this makes me happy.,5,0,0.265.0,2023-04-16 04:40:48,,
7462b592-616c-45c7-b023-89eea30f029d,Robert Lujan,In app purchase prices literally doubled overnight. Been playing since 2016 and this is the worst thing to happen since this app came out.,1,3,0.267.1,2023-04-16 04:39:19,,
c4ad5abf-ddd7-49be-b639-7a074cb6830c,Hehx Dhdjjc,Op,1,0,,2023-04-16 04:27:23,,
2df91c0a-6399-44b6-b6a6-7dba78b05d6f,Henry Kennington (NinHenry),"pretty epic but it could be a little more optimized for lower-end phones, and if you dont live by any pokestops or gyms you're pretty much donezo, other than that, it's kinda like streetpass",3,0,0.267.1,2023-04-16 04:13:41,,
96e092f5-4a10-4cde-b9c6-57264220d3e7,Mortisthepro,Not a bad game but everything about the battles is unbalaned,3,0,0.265.0,2023-04-16 04:11:39,,
047ce6c6-cdde-4cf7-8a19-e2b213b99869,Nishanth Mayooran,"The changes that this game developer has been making has not been benefitting players. They are not communicating or listening to the players, the community....The ones who actually play the game. Niantic just cares about money and not the playerbase. Fix your game, listen to the players. You have plenty of money to fix the game, to have a social team...but its been the same problems since the release of the game. Focus on the players, not your pockets. Bad events, buggy researches.",1,8,0.267.1,2023-04-16 04:10:07,,
b923ac96-10cc-49b7-bed5-5eb99fc66ce3,Chase Hansen,"If you spend money on this game, the standard gameplay becomes rigged against you. It recognizes that you will buy balls if you run out, and makes even the most basic pokemon impossible to catch. When it first launched it was fun. Now they just try to squeeze more money out of the people who still play. I will never play another Niantic game. Screwing over customers is their business",1,2,0.267.1,2023-04-16 04:05:18,,
46029045-fb4a-42e3-aa4d-379c8dc63731,stephen walker,Good,5,0,0.267.1,2023-04-16 03:59:15,,
4af3e9dd-65a9-4698-ba98-c7dedf086253,Piper Smith (Forever True),Was great game but not anymore,1,2,0.267.1,2023-04-16 03:57:20,,
70b3c9f1-e544-4a81-a6dd-4bf6b6ed9b2a,Chibi Jan,Didn't send notifications when theres community day or friends send you gifts,1,0,0.267.1,2023-04-16 03:53:45,,
ace8fae2-23bb-4ce6-bdc2-4fd2f6512810,Mitch Pennisi,"Pokemon is fun for everyone, or used to be before nintanic made mistakes after mistakes. This is a company that barely knows how to function properly, from countless glitches when pushing an update to pure disrespect to its own community. This is purely a cash grab game, they don't even care about the Pokemon franchise.",1,3,0.267.1,2023-04-16 03:53:01,,
8c89acb3-75c2-4157-9146-f2e3e0a039ca,Michelle Magras,This game slays,5,0,0.257.1,2023-04-16 03:42:55,,
